metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata,,,,,
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,name,(All)
http_req_duration,1740067590,290.835,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_blocked,1740067590,660.658,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,Row Labels,Count of extra_tags
http_req_connecting,1740067590,370.232,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=1,63
http_req_tls_handshaking,1740067590,285.519,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=10,63
http_req_sending,1740067590,0.016,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=2,60
http_req_waiting,1740067590,290.738,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=3,60
http_req_receiving,1740067590,0.081,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=4,57
http_req_failed,1740067590,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=5,60
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=6,60
http_req_duration,1740067590,287.732,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=7,60
http_req_blocked,1740067590,663.873,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=8,60
http_req_connecting,1740067590,372.548,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,vu=9,57
http_req_tls_handshaking,1740067590,287.858,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,(blank),
http_req_sending,1740067590,0.007,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,Grand Total,600
http_req_waiting,1740067590,287.679,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_receiving,1740067590,0.046,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_failed,1740067590,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_duration,1740067590,289.915,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_blocked,1740067590,661.321,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_connecting,1740067590,371.027,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_tls_handshaking,1740067590,285.685,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_sending,1740067590,0.007,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_waiting,1740067590,289.857,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_receiving,1740067590,0.051,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_failed,1740067590,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_duration,1740067590,288.91,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_blocked,1740067590,662.64,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_connecting,1740067590,373.117,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_tls_handshaking,1740067590,286.507,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_sending,1740067590,0.008,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_waiting,1740067590,288.746,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_receiving,1740067590,0.156,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_failed,1740067590,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_duration,1740067590,293.731,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_blocked,1740067590,657.539,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_connecting,1740067590,370.471,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_tls_handshaking,1740067590,284.017,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_sending,1740067590,0.025,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_waiting,1740067590,293.499,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_receiving,1740067590,0.207,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_failed,1740067590,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_reqs,1740067590,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_duration,1740067590,285.964,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
http_req_blocked,1740067590,665.427,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,,,
